dataset,category,n_digit,codebook_size,sid_quantizer,sent_emb_model,sent_emb_pca,target_item,collision_size,sid,others
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,7245456259,4,"(62, 154, 158, 96)",7245456313;B002L6WO5U;B00FWJG3M8;B0026NB3LE
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,7245456313,4,"(62, 154, 158, 96)",7245456259;B002L6WO5U;B00FWJG3M8;B0026NB3LE
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00004WA4U,2,"(232, 85, 236, 161)",B00004WA4T;B000JJJ2AQ
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00004WFT6,1,"(169, 198, 208, 7)",B00004WFTD
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00004WFTD,1,"(169, 198, 208, 7)",B00004WFT6
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00004WFTV,6,"(169, 212, 208, 7)",B000O8OTKA;B00004WFSY;B0002JT07I;B00009YV6L;B000FKM41S;B000H38GGK
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00004YVAE,1,"(113, 193, 208, 232)",B00004YVB0
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00004YVAJ,47,"(113, 193, 135, 232)",B00004YVB4;B0007QCOB0;B0001P151W;B000PX0LKG;B000VY4OJS;B0000224UE;B0007QCOG0;B002EYASY8;B0042Z38Y4;B0001GS19U;B00006IS69;B000MLU8PE;B0007QCO6K;B0002T5YNW;B000H3BLBM;B000FNI1V2;B000VY6E5U;B00004YVBA;B0027MSC2M;B001B16ZSI;B000687B44;B00004YVB1;B00009MKJ3;B000687AWC;B0007QCO92;B000687B4O;B00007E8F3;B000FNI1BM;B001S0FQ1Y;B000VY2Y7M;B0001P15JY;B000FNFXQS;B001DZT0M0;B001F0GNT6;B00004YVBB;B0009KF4H0;B0007QCO9M;B0007QCO6U;B0015ZVPUI;B00005ML8D;B007JTO5ZG;B00006OALR;B000QGF986;B007PEL05S;B0007QCO8I;B000FNIL8K;B001QUXH5S
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00004YVBA,47,"(113, 193, 135, 232)",B00004YVAJ;B00004YVB4;B0007QCOB0;B0001P151W;B000PX0LKG;B000VY4OJS;B0000224UE;B0007QCOG0;B002EYASY8;B0042Z38Y4;B0001GS19U;B00006IS69;B000MLU8PE;B0007QCO6K;B0002T5YNW;B000H3BLBM;B000FNI1V2;B000VY6E5U;B0027MSC2M;B001B16ZSI;B000687B44;B00004YVB1;B00009MKJ3;B000687AWC;B0007QCO92;B000687B4O;B00007E8F3;B000FNI1BM;B001S0FQ1Y;B000VY2Y7M;B0001P15JY;B000FNFXQS;B001DZT0M0;B001F0GNT6;B00004YVBB;B0009KF4H0;B0007QCO9M;B0007QCO6U;B0015ZVPUI;B00005ML8D;B007JTO5ZG;B00006OALR;B000QGF986;B007PEL05S;B0007QCO8I;B000FNIL8K;B001QUXH5S
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B000051ZHS,8,"(28, 66, 239, 231)",B00177BQC6;B00CMBTCHW;B00177J4UC;B00177J4XO;B005S6GY74;B00CMBJ1VE;B001CRBNEC;B006IXB73C
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00005BHNT,4,"(23, 189, 238, 236)",B00005UDHY;B00070QE0S;B00070QDYK;B00070QE1M
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00005JD3Z,2,"(181, 66, 56, 237)",B004E4GBFG;B0009PUQEG
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00005MOYK,3,"(138, 255, 128, 62)",B000FK5PWI;B006QGH9N8;B000VEWWF6
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00005UDHY,4,"(23, 189, 238, 236)",B00005BHNT;B00070QE0S;B00070QDYK;B00070QE1M
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00006I551,17,"(48, 160, 223, 120)",B00186YU38;B000GB1RB4;B004C284M8;B0013MAVRQ;B0013M6BRA;B000GB0FYO;B004D35W4Y;B003URNNHC;B000GAYQMC;B004AOHQX6;B004AOLA1A;B001B03MXU;B000AR7S08;B003URWN5U;B005JVP0FU;B001QFYDKG;B000AR96P8
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00006IS69,47,"(113, 193, 135, 232)",B00004YVAJ;B00004YVB4;B0007QCOB0;B0001P151W;B000PX0LKG;B000VY4OJS;B0000224UE;B0007QCOG0;B002EYASY8;B0042Z38Y4;B0001GS19U;B000MLU8PE;B0007QCO6K;B0002T5YNW;B000H3BLBM;B000FNI1V2;B000VY6E5U;B00004YVBA;B0027MSC2M;B001B16ZSI;B000687B44;B00004YVB1;B00009MKJ3;B000687AWC;B0007QCO92;B000687B4O;B00007E8F3;B000FNI1BM;B001S0FQ1Y;B000VY2Y7M;B0001P15JY;B000FNFXQS;B001DZT0M0;B001F0GNT6;B00004YVBB;B0009KF4H0;B0007QCO9M;B0007QCO6U;B0015ZVPUI;B00005ML8D;B007JTO5ZG;B00006OALR;B000QGF986;B007PEL05S;B0007QCO8I;B000FNIL8K;B001QUXH5S
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B000071K5K,1,"(58, 139, 152, 157)",B0002Q9DA0
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00007E1M1,4,"(8, 92, 160, 24)",B000BSZDRQ;B0017HZ0O6;B00020BNYA;B00020BNW2
AmazonReviews2014,Sports_and_Outdoors,4,256,opq_pq,Alibaba-NLP/gte-large-en-v1.5,512,B00007E1M2,21,"(8, 92, 20, 44)",B00007E1M5;B0001WC6XQ;B001EICW7G;B00004U9J9;B000X23DL8;B0036Z1XNE;B004WN5AQ0;B000Q9BFZO;B0017KO3T6;B001RXMWJ6;B000NDWFSY;B001C2LGPI;B000BSY9F8;B001D0PZX8;B000JVQT3M;B00AU6GRH4;B000BSWECS;B00AU6GY5O;B0073H2L1Y;B0074FH7N2;B004WN5CT0
